Time	Fin	pitch rate	Az Demand	Az
2.28	-0.516764	0.181526	-2.14343	-0.327582
2.285	-0.520408	0.182751	-2.14576	-0.329666
2.29	-0.523599	0.184013	-2.14576	-0.331782
2.295	-0.523599	0.185311	-2.15472	-0.33393
2.3	-0.523599	0.186643	-2.15472	-0.33612
2.305	-0.523599	0.188003	-2.15706	-0.33843
2.31	-0.523599	0.189379	-2.15706	-0.340866
2.315	-0.523599	0.190741	-2.15939	-0.343366
2.32	-0.523599	0.192116	-2.15939	-0.345933
2.325	-0.523599	0.193489	-2.16173	-0.348529
2.33	-0.523599	0.194859	-2.16173	-0.351154
2.335	-0.523599	0.196226	-2.16659	-0.353812
2.34	-0.523599	0.19759	-2.16659	-0.356498
2.345	-0.523599	0.198933	-2.17213	-0.359216
2.35	-0.523599	0.200276	-2.17213	-0.362107
2.355	-0.523599	0.201593	-2.17447	-0.365039
2.36	-0.523599	0.202886	-2.17447	-0.368003
2.365	-0.523599	0.204152	-2.17354	-0.370994
2.37	-0.523599	0.205389	-2.17354	-0.373966
2.375	-0.523599	0.206598	-2.18463	-0.377053
2.38	-0.523599	0.207783	-2.18463	-0.380165
2.385	-0.523599	0.20894	-2.18697	-0.383272
2.39	-0.523599	0.210069	-2.18697	-0.386405
2.395	-0.523599	0.211169	-2.18931	-0.389571
2.4	-0.523599	0.212239	-2.18931	-0.392782
2.405	-0.523599	0.213281	-2.19164	-0.396026
2.41	-0.523599	0.214294	-2.19164	-0.39929
2.415	-0.523599	0.215277	-2.19897	-0.402585
2.42	-0.523599	0.216229	-2.19897	-0.405904
2.425	-0.523599	0.21715	-2.20131	-0.409236
2.43	-0.523599	0.21804	-2.20131	-0.412624
2.435	-0.523599	0.218899	-2.20365	-0.416041
2.44	-0.523599	0.219728	-2.20365	-0.419473
2.445	-0.523599	0.220523	-2.20598	-0.422896
2.45	-0.523599	0.221285	-2.20598	-0.426392
2.455	-0.523599	0.222015	-2.21203	-0.429919
2.46	-0.523599	0.222714	-2.21203	-0.433452
2.465	-0.523599	0.22338	-2.21437	-0.436992
2.47	-0.523599	0.224011	-2.21437	-0.440579
2.475	-0.523599	0.224609	-2.2167	-0.444191
2.48	-0.523599	0.225172	-2.2167	-0.447785
2.485	-0.523599	0.225701	-2.21904	-0.451463
2.49	-0.523599	0.226197	-2.21904	-0.455151
2.495	-0.523599	0.226659	-2.22403	-0.458839
2.5	-0.523599	0.227085	-2.22403	-0.462556
2.505	-0.523599	0.227475	-2.22636	-0.466289
2.51	-0.523599	0.227829	-2.22636	-0.470048
2.515	-0.523599	0.228144	-2.2287	-0.47378
2.52	-0.523599	0.228426	-2.2287	-0.477625
2.525	-0.523599	0.228672	-2.23103	-0.481439
2.53	-0.523599	0.22888	-2.23103	-0.485269
2.535	-0.523599	0.229051	-2.23491	-0.489118
2.54	-0.523599	0.229185	-2.23491	-0.492989
2.545	-0.523599	0.229282	-2.23724	-0.496876
2.55	-0.523599	0.229342	-2.23724	-0.500777
2.555	-0.523599	0.229363	-2.23956	-0.504693
2.56	-0.523599	0.229347	-2.23956	-0.508626
2.565	-0.523599	0.229294	-2.24189	-0.512571
